DecayParticle1_Name DecayParticle1_Boson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_Boson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
W+ 1 80.4 189.669 23 9 170 W- 1 80.4 148.419 38 -82 -86
b_quark 0 4.18 185.18 121 -132 47 b_quark 0 4.18 152.034 -106 94 -55
b_quark 0 4.18 124.702 37 108 -50 b_quark 0 4.18 126.315 -116 -49 -9
b_quark 0 4.18 219.844 -169 68 -123 b_quark 0 4.18 149.554 75 -82 100
W+ 1 80.4 186.757 30 165 -17 W- 1 80.4 130.304 5 -101 17
b_quark 0 4.18 210.227 -65 193 -52 b_quark 0 4.18 199.528 131 -147 32
W+ 1 80.4 226.241 -126 51 162 W- 1 80.4 192.674 103 27 -139
b_quark 0 4.18 245.185 -200 -93 -107 b_quark 0 4.18 146.405 101 20 104
b_quark 0 4.18 142.953 -124 71 1 b_quark 0 4.18 83.9194 36 -55 -52
b_quark 0 4.18 169.937 -94 12 -141 b_quark 0 4.18 133.024 86 81 61
b_quark 0 4.18 74.0505 -29 -1 68 b_quark 0 4.18 80.3584 -34 -10 -72
b_quark 0 4.18 237.237 70 208 -90 b_quark 0 4.18 177.275 -38 -146 93
b_quark 0 4.18 213.765 181 106 41 b_quark 0 4.18 179.882 -112 -14 -140
b_quark 0 4.18 168.328 14 -35 164 b_quark 0 4.18 131.219 -34 13 -126
b_quark 0 4.18 210.398 -163 65 -116 b_quark 0 4.18 157.475 93 16 126
W+ 1 80.4 169.859 124 54 64 W- 1 80.4 204.671 -116 -73 -129
b_quark 0 4.18 180.146 159 -35 77 b_quark 0 4.18 106.261 -97 -43 4
b_quark 0 4.18 187.972 40 -154 100 b_quark 0 4.18 144.94 41 115 -78
W+ 1 80.4 127.664 -29 -23 92 W- 1 80.4 137.67 4 107 -32
b_quark 0 4.18 114.61 113 18 5 b_quark 0 4.18 26.3718 -13 5 -22
b_quark 0 4.18 216.177 177 -119 35 b_quark 0 4.18 121.698 -82 65 62
W+ 1 80.4 120.732 44 -76 20 W- 1 80.4 103.35 -52 12 -37
b_quark 0 4.18 160.771 122 -61 85 b_quark 0 4.18 60.9793 -42 44 1
b_quark 0 4.18 258.09 186 154 -91 b_quark 0 4.18 216.387 -146 -143 71
b_quark 0 4.18 137.741 81 37 -105 b_quark 0 4.18 160.983 -43 60 143
b_quark 0 4.18 199.618 -25 -159 118 b_quark 0 4.18 143.127 -4 96 -106
b_quark 0 4.18 111.694 92 5 -63 b_quark 0 4.18 54.4745 -30 31 33
tau+ 0 1.78 148.621 -95 8 114 tau- 0 1.78 68.936 11 -62 -28
b_quark 0 4.18 161.773 -26 -159 -14 b_quark 0 4.18 123.663 -65 105 5
b_quark 0 4.18 118.855 8 62 -101 b_quark 0 4.18 154.138 67 -134 36
tau+ 0 1.78 119.646 14 -96 70 tau- 0 1.78 152.857 76 105 -81
b_quark 0 4.18 109.788 -20 20 106 b_quark 0 4.18 85.4779 -14 73 -42
b_quark 0 4.18 243.326 -71 130 193 b_quark 0 4.18 189.725 113 -40 -147
b_quark 0 4.18 64.2221 -25 59 1 b_quark 0 4.18 70.1675 53 39 -24
W+ 1 80.4 89.6558 -25 18 -25 W- 1 80.4 114.438 -24 -70 -34
b_quark 0 4.18 259.319 -168 146 133 b_quark 0 4.18 178.985 121 -104 -81
W+ 1 80.4 238.961 -101 201 -6 W- 1 80.4 226.694 129 -149 78
b_quark 0 4.18 212.888 -174 -68 102 b_quark 0 4.18 148.924 92 89 -76
W+ 1 80.4 283.784 -177 86 -188 W- 1 80.4 185.57 102 12 132
b_quark 0 4.18 189.279 -165 90 -22 b_quark 0 4.18 171.789 117 -123 26
b_quark 0 4.18 120.708 8 -67 -100 b_quark 0 4.18 184.72 -74 92 142
b_quark 0 4.18 221.999 149 -13 164 b_quark 0 4.18 208.767 -115 95 -146
b_quark 0 4.18 242.278 -226 78 -39 b_quark 0 4.18 199.257 138 -131 59
b_quark 0 4.18 205.593 -53 -101 171 b_quark 0 4.18 148.689 -35 65 -129
b_quark 0 4.18 228.732 11 -148 174 b_quark 0 4.18 183.757 -40 118 -135
W+ 1 80.4 189.719 2 -122 121 W- 1 80.4 104.476 23 39 -49
b_quark 0 4.18 219.252 170 77 -115 b_quark 0 4.18 156.139 -141 -16 65
W+ 1 80.4 104.452 -63 -6 21 W- 1 80.4 93.43 -4 35 32
b_quark 0 4.18 251.862 52 -232 83 b_quark 0 4.18 189.49 -62 142 -109
b_quark 0 4.18 239.64 152 185 9 b_quark 0 4.18 158.409 -64 -118 -84
W+ 1 80.4 324.262 215 4 229 W- 1 80.4 224.673 -147 -33 -146
b_quark 0 4.18 132.161 -114 -22 -63 b_quark 0 4.18 158.134 52 109 102
b_quark 0 4.18 202.779 -57 -142 -133 b_quark 0 4.18 177.063 133 109 42
b_quark 0 4.18 120.679 -59 -92 51 b_quark 0 4.18 94.8181 50 68 -43
b_quark 0 4.18 121.764 108 -3 56 b_quark 0 4.18 47.9737 -42 -6 22
b_quark 0 4.18 235.26 113 156 135 b_quark 0 4.18 166.933 -116 -77 -92
W+ 1 80.4 257.647 185 -27 158 W- 1 80.4 187.281 -125 84 -77
b_quark 0 4.18 251.427 35 73 -238 b_quark 0 4.18 196.704 -65 -123 139
b_quark 0 4.18 38.8262 19 20 -27 b_quark 0 4.18 68.187 -46 20 46
b_quark 0 4.18 89.6575 66 -52 -31 b_quark 0 4.18 147.076 34 123 73
tau+ 0 1.78 240.352 159 79 -162 tau- 0 1.78 179.288 -120 -46 125
b_quark 0 4.18 121.895 -2 121 -14 b_quark 0 4.18 145.847 -41 -138 -23
b_quark 0 4.18 320.544 -159 161 -227 b_quark 0 4.18 197.614 125 -72 135
b_quark 0 4.18 218.283 -155 -114 -103 b_quark 0 4.18 198.606 85 141 111
b_quark 0 4.18 260.612 149 -210 40 b_quark 0 4.18 210.766 -150 137 56
W+ 1 80.4 108.854 49 50 22 W- 1 80.4 170.321 -62 -115 -74
b_quark 0 4.18 133.834 125 30 -37 b_quark 0 4.18 178.167 -126 -109 -63
b_quark 0 4.18 153.686 -133 27 72 b_quark 0 4.18 176.877 94 -124 -84
b_quark 0 4.18 203.505 -89 -176 50 b_quark 0 4.18 102.369 18 97 27
W+ 1 80.4 272.57 146 17 -215 W- 1 80.4 191.888 -113 -52 122
W+ 1 80.4 184.578 81 140 38 W- 1 80.4 205.03 -138 -127 -20
b_quark 0 4.18 152.13 -71 -129 -38 b_quark 0 4.18 162.962 135 85 33
b_quark 0 4.18 126.006 -104 60 -38 b_quark 0 4.18 182.243 79 -145 77
b_quark 0 4.18 171.121 170 19 2 b_quark 0 4.18 106.261 -104 13 -17
W+ 1 80.4 153.64 -81 -92 -46 W- 1 80.4 180.563 47 59 143
b_quark 0 4.18 184.452 137 -94 -80 b_quark 0 4.18 123.772 -79 -6 95
W+ 1 80.4 134.852 76 13 76 W- 1 80.4 138.294 -4 -18 -111
b_quark 0 4.18 126.919 53 31 111 b_quark 0 4.18 147.474 -49 -81 -113
b_quark 0 4.18 198.833 -198 -12 -13 b_quark 0 4.18 138.861 122 30 -59
b_quark 0 4.18 157.643 80 125 -53 b_quark 0 4.18 180.899 -111 -125 69
b_quark 0 4.18 86.8013 19 84 10 b_quark 0 4.18 116.582 63 -86 47
b_quark 0 4.18 211.817 78 -82 -179 b_quark 0 4.18 204.104 -84 131 132
b_quark 0 4.18 163.51 -149 -46 -49 b_quark 0 4.18 158.488 108 114 -21
W+ 1 80.4 196.512 167 30 -58 W- 1 80.4 198.845 -147 -105 -21
b_quark 0 4.18 168.275 -43 115 -115 b_quark 0 4.18 81.3601 -51 -49 40
b_quark 0 4.18 236.416 -89 -77 -205 b_quark 0 4.18 175.791 119 68 110
W+ 1 80.4 119.215 50 72 -8 W- 1 80.4 114.495 44 -50 47
b_quark 0 4.18 208.515 116 158 71 b_quark 0 4.18 100.844 -56 -70 -46
W+ 1 80.4 101.534 -41 -20 42 W- 1 80.4 102.143 -10 -62 -5
b_quark 0 4.18 158.806 112 97 -57 b_quark 0 4.18 117.416 -12 -53 104
b_quark 0 4.18 142.525 -90 64 -90 b_quark 0 4.18 127.391 61 -111 13
b_quark 0 4.18 191.519 -18 -187 -37 b_quark 0 4.18 119.463 27 105 -50
b_quark 0 4.18 206.367 53 -119 160 b_quark 0 4.18 171.451 -85 117 -92
b_quark 0 4.18 192.196 7 -168 -93 b_quark 0 4.18 148.538 -46 141 -7
W+ 1 80.4 210.055 101 -157 -53 W- 1 80.4 195.456 -89 147 -47
W+ 1 80.4 243.877 -140 174 -56 W- 1 80.4 185.791 107 -126 -27
W+ 1 80.4 291.133 -7 241 -142 W- 1 80.4 211.391 62 -147 113
b_quark 0 4.18 119.237 102 60 -14 b_quark 0 4.18 201.088 -143 -121 73
W+ 1 80.4 166.785 -63 130 22 W- 1 80.4 196.118 -31 -149 -94
b_quark 0 4.18 270.898 -158 2 -220 b_quark 0 4.18 192.675 96 -101 133
b_quark 0 4.18 182.155 77 -3 165 b_quark 0 4.18 162.122 -97 84 -99
W+ 1 80.4 149.737 14 119 -40 W- 1 80.4 120.205 -46 -62 -45
b_quark 0 4.18 88.3146 37 77 22 b_quark 0 4.18 88.1106 53 -29 -64
b_quark 0 4.18 224.142 -206 -35 81 b_quark 0 4.18 155.912 123 -51 -81
tau+ 0 1.78 185.184 172 41 -55 tau- 0 1.78 143.712 -117 -81 20
W+ 1 80.4 244.878 228 -29 26 W- 1 80.4 190.479 -136 99 39
b_quark 0 4.18 99.5714 76 61 20 b_quark 0 4.18 164.388 -139 -74 -47
W+ 1 80.4 99.6502 3 39 44 W- 1 80.4 174.477 81 -16 -131
b_quark 0 4.18 190.388 26 -65 -177 b_quark 0 4.18 133.355 -5 -29 130
b_quark 0 4.18 227.613 165 -153 -34 b_quark 0 4.18 163.384 -150 64 -9
b_quark 0 4.18 132.1 66 -114 9 b_quark 0 4.18 152.782 -61 130 -52
b_quark 0 4.18 216.561 160 -145 -16 b_quark 0 4.18 201.949 -131 114 103
tau+ 0 1.78 229.748 -206 12 -101 tau- 0 1.78 174.394 147 -49 80
b_quark 0 4.18 211.645 -26 168 126 b_quark 0 4.18 193.451 25 -130 -141
W+ 1 80.4 233.054 -185 -20 -115 W- 1 80.4 193.42 99 -11 145
W+ 1 80.4 116.014 49 -25 63 W- 1 80.4 110.164 30 -64 -26
W+ 1 80.4 232.468 35 124 176 W- 1 80.4 174.084 -47 -104 -104
W+ 1 80.4 128.756 95 0 33 W- 1 80.4 210.927 -111 91 -132
b_quark 0 4.18 165.631 36 158 34 b_quark 0 4.18 125.839 5 -112 -57
Z 1 91.2 196.22 -108 136 5 Z 1 91.2 137.202 69 -61 45
b_quark 0 4.18 143.793 47 -99 93 b_quark 0 4.18 64.9267 38 45 -27
W+ 1 80.4 178.992 97 111 62 W- 1 80.4 153.9 -25 -60 -114
Z 1 91.2 166.062 57 -37 -121 Z 1 91.2 166.26 -43 126 40
b_quark 0 4.18 147.389 4 147 9 b_quark 0 4.18 166.444 94 -137 -9
b_quark 0 4.18 133.306 -98 90 -7 b_quark 0 4.18 164.425 145 8 77
b_quark 0 4.18 86.8359 1 81 -31 b_quark 0 4.18 50.6307 9 -28 41
b_quark 0 4.18 114.518 -68 92 3 b_quark 0 4.18 128.559 61 -105 42
b_quark 0 4.18 189.107 -12 -68 176 b_quark 0 4.18 175.133 -23 130 -115
b_quark 0 4.18 217.733 187 -10 111 b_quark 0 4.18 140.408 -90 -19 -106
b_quark 0 4.18 159.664 145 -61 -27 b_quark 0 4.18 146.859 -115 -15 90
b_quark 0 4.18 144.483 -99 -56 -89 b_quark 0 4.18 93.0133 88 -23 19
b_quark 0 4.18 55.9238 -50 23 -9 b_quark 0 4.18 114.116 100 -34 43
tau+ 0 1.78 137.783 105 30 84 tau- 0 1.78 178.519 -91 -104 -113
W+ 1 80.4 122.344 90 -20 2 W- 1 80.4 144.804 -32 -78 -86
b_quark 0 4.18 242.212 93 -220 40 b_quark 0 4.18 184.181 -110 147 14
tau+ 0 1.78 246.555 216 81 -87 tau- 0 1.78 197.17 -119 -126 94
b_quark 0 4.18 148.521 25 -146 10 b_quark 0 4.18 128.742 64 106 35
b_quark 0 4.18 134.594 39 121 -44 b_quark 0 4.18 121.188 -48 -109 -22
b_quark 0 4.18 279.94 3 216 -178 b_quark 0 4.18 177.049 28 -128 119
b_quark 0 4.18 57.9351 31 43 23 b_quark 0 4.18 125.612 -95 -56 -60
b_quark 0 4.18 152.182 62 -137 -23 b_quark 0 4.18 173.143 -68 116 109
b_quark 0 4.18 41.623 -27 -31 5 b_quark 0 4.18 31.3444 15 16 22
b_quark 0 4.18 246.429 -95 94 -207 b_quark 0 4.18 192.433 136 -66 119
b_quark 0 4.18 257.757 144 206 57 b_quark 0 4.18 157.593 -67 -120 -77
tau+ 0 1.78 197.224 -194 23 -27 tau- 0 1.78 124.439 115 24 41
Z 1 91.2 266.382 73 -192 -143 Z 1 91.2 199.678 3 141 108
b_quark 0 4.18 107.417 -54 62 69 b_quark 0 4.18 155.069 68 -19 -138
b_quark 0 4.18 235.6 112 -189 -85 b_quark 0 4.18 202.757 -116 114 121
W+ 1 80.4 221.215 118 -18 168 W- 1 80.4 161.37 -98 54 -84
b_quark 0 4.18 169.713 -68 145 -56 b_quark 0 4.18 149.608 45 -138 -36
W+ 1 80.4 215.551 -10 -197 33 W- 1 80.4 184.299 78 113 -93
W+ 1 80.4 149.058 -52 -111 -27 W- 1 80.4 200.883 115 96 107
b_quark 0 4.18 36.297 12 16 -30 b_quark 0 4.18 101.934 -24 -86 -49
b_quark 0 4.18 240.995 174 157 56 b_quark 0 4.18 142.687 -123 -58 43
b_quark 0 4.18 87.0257 18 64 56 b_quark 0 4.18 147.853 -23 17 -145
b_quark 0 4.18 70.9188 -40 46 36 b_quark 0 4.18 99.8372 79 -53 -30
W+ 1 80.4 145.083 -42 70 89 W- 1 80.4 103.296 22 -61 -1
b_quark 0 4.18 232.333 181 52 136 b_quark 0 4.18 189.411 -113 -77 -131
